"id","group","name","type","kanji.name","kana.name","lat.d","lat.m","lon.d","lon.m","height","rem1","rem2","rem3","rem4","rem5"
47421,16,"Sutsutsu","s1","寿都","スツツ",42,47.7,140,13.4,33.4,"","","",NA,NA
59,16,"Katsuradai","a1","桂台","カツラダイ",42,45.1,140,37.1,333,"","","",NA,NA
60,16,"Kimobetsu","a1","喜茂別","キモベツ",42,47.6,140,56.9,264,"","","",NA,NA
61,16,"Kuromatsunai","a1","黒松内","クロマツナイ",42,39.8,140,18.6,27,"","","",NA,NA
1072,16,"Makkari","a1","真狩","マッカリ",42,46.5,140,52.8,440,"","","",NA,NA
1091,16,"Akaigawa","a1","赤井川","アカイガワ",43,5,140,49.2,148,"","","",NA,NA
1208,16,"Kamoenai","a1","神恵内","カモエナイ",43,8.7,140,25.4,50,"","","",NA,NA
1615,16,"Niseko","a1","ニセコ","ニセコ",42,46.7,140,40,113,"","","",NA,NA
47405,17,"Oumu","s1","雄武","オウム",44,34.8,142,57.8,14.1,"","","",NA,NA
63,17,"Okoppe","a1","興部","オコッペ",44,28.2,143,6.5,8,"","","",NA,NA
47435,17,"Monbetsu","s1","紋別","モンベツ",44,20.7,143,21.3,15.8,"","","",NA,NA
65,17,"Yuubetsu","a1","湧別","ユウベツ",44,12.8,143,37.1,5,"","","",NA,NA
66,17,"Takinoue","a1","滝上","タキノウエ",44,10.6,143,3.7,165,"","","",NA,NA
67,17,"Kamimobetsu","a1","上藻別","カミモベツ",44,11.3,143,20.2,85,"","","",NA,NA
68,17,"Tokoro","a1","常呂","トコロ",44,6.9,144,2.2,3,"","","",NA,NA
69,17,"Engaru","a1","遠軽","エンガル",44,3.2,143,32.4,80,"","","",NA,NA
70,17,"Saroma","a1","佐呂間","サロマ",44,1.1,143,45.6,54,"","","",NA,NA
47409,17,"Abashiri","s1","網走","アバシリ",44,1,144,16.7,37.6,"","","",NA,NA
72,17,"Ikutahara","a1","生田原","イクタハラ",43,55,143,31.9,199,"","","",NA,NA
73,17,"Nikoroyama","a1","仁頃山","ニコロヤマ",43,51.6,143,44.8,261,"","","",NA,NA
74,17,"Kitami","a1","北見","キタミ",43,48.6,143,52.5,114,"","","",NA,NA
75,17,"Koshimizu","a1","小清水","コシミズ",43,50.5,144,29.1,52,"","","",NA,NA
76,17,"Shari","a1","斜里","シャリ",43,53.1,144,42,15,"","","",NA,NA
77,17,"Rubeshibe","a1","留辺蘂","ルベシベ",43,44.5,143,27,325,"","","",NA,NA
78,17,"Rubeshibeyama","a1","留辺蘂山","ルベシベヤマ",43,45.5,143,36.2,470,"","","",NA,NA
79,17,"Bihoro","a1","美幌","ビホロ",43,46.2,144,10.3,60,"","","",NA,NA
80,17,"Mokotoyama","a1","藻琴山","モコトヤマ",43,43.6,144,17.8,518,"","","",NA,NA
81,17,"Chimikeppuyama","a1","チミケップ山","チミケップヤマ",43,38.7,143,53.4,600,"","","",NA,NA
82,17,"Tsubetsu","a1","津別","ツベツ",43,42.1,144,2,100,"","","",NA,NA
83,17,"Kitaminakayama","a1","北見中山","キタミナカヤマ",43,35.9,143,27.6,905,"","","",NA,NA
981,17,"Utoro","a1","宇登呂","ウトロ",44,3.1,144,58.9,144,"","","",NA,NA
1073,17,"Nishiokoppe","a1","西興部","ニシオコッペ",44,19.9,142,56.2,120,"","","",NA,NA
1092,17,"Shirataki","a1","白滝","シラタキ",43,51.9,143,9.2,475,"","","",NA,NA
1209,17,"Sakaino","a1","境野","サカイノ",43,42.4,143,38.6,184,"","","",NA,NA
1263,17,"Higashimokoto","a1","東藻琴","ヒガシモコト",43,50.4,144,17.1,58,"","","",NA,NA
1420,17,"Maruseppu","a1","丸瀬布","マルセップ",43,57.1,143,19.7,242,"","","",NA,NA
1460,17,"Memanbetsu","a1","女満別","メマンベツ",43,52.8,144,9.8,33,"","","",NA,NA
1487,17,"Monbetsukomukai","a1","紋別小向","モンベツコムカイ",44,18.2,143,24.2,18,"","","",NA,NA
1568,17,"Tsubetsufutamata","a1","津別二又","ツベツフタマタ",43,35,143,51.9,221,"","","",NA,NA
1569,17,"Oketotsunemoto","a1","置戸常元","オケトツネモト",43,37.2,143,26.4,368,"","","",NA,NA
1617,17,"Yamazono","a1","山園","ヤマゾノ",43,44.6,144,20.2,361,"","","",NA,NA
84,18,"Rausu","a1","羅臼","ラウス",44,1.4,145,11.2,15,"","","",NA,NA
85,18,"Shibetsu","a1","標津","シベツ",43,39.7,145,7.9,3,"","","",NA,NA
86,18,"Nakashibetsu","a1","中標津","ナカシベツ",43,32.6,144,58.7,50,"","","",NA,NA
87,18,"Kenebetsu","a1","計根別","ケネベツ",43,29.1,144,48.5,110,"","","",NA,NA
88,18,"Betsukai","a1","別海","ベツカイ",43,22.9,145,7.1,23,"","","",NA,NA
47420,18,"Nemuro","s1","根室","ネムロ",43,19.8,145,35.1,25.2,"","","",NA,NA
1056,18,"Nosappu","a1","納沙布","ノサップ",43,23.6,145,45.5,12,"","","",NA,NA
1196,18,"Attoko","a1","厚床","アットコ",43,13.9,145,15.5,40,"","","",NA,NA
1266,18,"Itokushibetsu","a1","糸櫛別","イトクシベツ",43,43.3,144,59.3,115,"","","",NA,NA
1489,18,"Nemuronakashibetsu","a1","根室中標津","ネムロナカシベツ",43,34.6,144,57.6,65,"","","",NA,NA
1547,18,"Kamishibetsu","a1","上標津","カミシベツ",43,31.2,144,44.8,181,"","","",NA,NA
90,19,"Kawayu","a1","川湯","カワユ",43,37,144,27.4,158,"","","",NA,NA
91,19,"Akankohan","a1","阿寒湖畔","アカンコハン",43,26.2,144,5.1,450,"","","",NA,NA
92,19,"Teshikaga","a1","弟子屈","テシカガ",43,28.7,144,26.8,107,"","","",NA,NA
93,19,"Shibecha","a1","標茶","シベチャ",43,17.5,144,35.2,20,"","","",NA,NA
94,19,"Hororodaichi","a1","幌呂台地","ホロロダイチ",43,16.7,144,13.6,225,"","","",NA,NA
95,19,"Nakateshibetsu","a1","中徹別","ナカテシベツ",43,11.9,144,8.5,80,"","","",NA,NA
96,19,"Akan","a1","阿寒","アカン",43,6.8,144,7.4,40,"1983年8月4日までの地点名「阿寒台」","","",NA,NA
97,19,"Kiritappu","a1","霧多布","キリタップ",43,4.6,145,7.7,2,"","","",NA,NA
98,19,"Shiranuka","a1","白糠","シラヌカ",42,58.2,144,3.7,9,"","","",NA,NA
47418,19,"Kushiro","s1","釧路","クシロ",42,59.1,144,22.6,4.5,"","","",NA,NA
1107,19,"Futamata","a1","二俣","フタマタ",42,58.3,143,52.5,45,"","","",NA,NA
1186,19,"Tsurui","a1","鶴居","ツルイ",43,13.9,144,19.5,38,"","","",NA,NA
1187,19,"Teshikaga","a1","弟子屈","テシカガ",43,30.6,144,28,170,"","","",NA,NA
1192,19,"Oota","a1","太田","オオタ",43,5.4,144,46.7,85,"","","",NA,NA
1195,19,"Sakakimachi","a1","榊町","サカキマチ",43,7.2,145,6.6,2,"","","",NA,NA
1283,19,"Chippomanai","a1","知方学","チッポマナイ",42,56.3,144,44.1,149,"","","",NA,NA
1403,19,"Touro","a1","塘路","トウロ",43,8.9,144,29.8,25,"","","",NA,NA
1417,19,"Chanaigenya","a1","茶内原野","チャナイゲンヤ",43,10.4,144,58,70,"","","",NA,NA
1461,19,"Tsuruoka","a1","鶴丘","ツルオカ",43,2.4,144,11.5,95,"","","",NA,NA
100,20,"Gunkanyama","a1","軍艦山","グンカンヤマ",43,28.7,143,7.6,900,"","","",NA,NA
101,20,"Rikubetsu","a1","陸別","リクベツ",43,28.1,143,44.3,207,"","","",NA,NA
102,20,"Shokusankouchi","a1","殖産高地","ショクサンコウチ",43,26.1,143,41.7,419,"","","",NA,NA
103,20,"Nukabiragensenkyou","a1","ぬかびら源泉郷","ヌカビラゲンセンキョウ",43,22,143,11.5,540,"2011年5月31日までの地点名「糠平」","","",NA,NA
104,20,"Kosakayama","a1","小坂山","コサカヤマ",43,23.8,143,29,740,"","","",NA,NA
105,20,"Kamiashoro","a1","上足寄","カミアショロ",43,21.4,143,48.1,384,"","","",NA,NA
106,20,"Nishinupukaushiyama","a1","西ヌプカウシ山","ニシヌプカウシヤマ",43,14.5,143,4.2,760,"","","",NA,NA
107,20,"Kamishihoro","a1","上士幌","カミシホロ",43,14.1,143,18.2,295,"","","",NA,NA
108,20,"Horoyasuyama","a1","幌安山","ホロヤスヤマ",43,14.9,143,26.7,440,"","","",NA,NA
109,20,"Ashoro","a1","足寄","アショロ",43,14.6,143,33.2,90,"","","",NA,NA
110,20,"Sahorodake","a1","佐幌岳","サホロダケ",43,10.5,142,47.1,900,"","","",NA,NA
111,20,"Sankakuyama","a1","三角山","サンカクヤマ",43,11.8,142,58.1,560,"","","",NA,NA
112,20,"Honbetsu","a1","本別","ホンベツ",43,7.9,143,36,67,"","","",NA,NA
113,20,"Shintoku","a1","新得","シントク",43,4.6,142,50.4,178,"","","",NA,NA
